Target Variable,Variable,Correlation,Absolute Correlation
gross_monthly_median,gross_mthly_25_percentile,0.9675952892324295,0.9675952892324295
gross_monthly_median,gross_monthly_mean,0.9626146466845337,0.9626146466845337
gross_monthly_median,gross_mthly_75_percentile,0.9364960055767484,0.9364960055767484
gross_monthly_median,salary_iqr,0.5396178176572799,0.5396178176572799
gross_monthly_median,stability_score,-0.5396178176572792,0.5396178176572792
gross_monthly_median,career_value_index,0.5219641332996376,0.5219641332996376
gross_monthly_median,employment_rate_ft_perm,0.3139639118375667,0.3139639118375667
gross_monthly_median,employment_premium,-0.3074430431068396,0.3074430431068396
gross_monthly_median,employment_rate_overall,0.18184388590400832,0.18184388590400832
gross_monthly_median,salary_premium,0.0709002105541027,0.0709002105541027
career_value_index,employment_rate_ft_perm,0.9125153410365157,0.9125153410365157
career_value_index,employment_rate_overall,0.8590260495849407,0.8590260495849407
career_value_index,employment_premium,-0.6750025114854247,0.6750025114854247
career_value_index,gross_mthly_25_percentile,0.5630915484489337,0.5630915484489337
career_value_index,gross_monthly_median,0.5219641332996376,0.5219641332996376
career_value_index,gross_monthly_mean,0.4984786976051957,0.4984786976051957
career_value_index,gross_mthly_75_percentile,0.4444257456487105,0.4444257456487105
career_value_index,salary_iqr,0.1154608314850985,0.1154608314850985
career_value_index,stability_score,-0.11546083148509784,0.11546083148509784
career_value_index,salary_premium,0.022382048043147963,0.022382048043147963
employment_rate_overall,career_value_index,0.8590260495849407,0.8590260495849407
employment_rate_overall,employment_rate_ft_perm,0.7176682176477128,0.7176682176477128
employment_rate_overall,employment_premium,-0.3163504633003677,0.3163504633003677
employment_rate_overall,gross_mthly_25_percentile,0.21161174093779742,0.21161174093779742
employment_rate_overall,gross_monthly_mean,0.19130083190588296,0.19130083190588296
employment_rate_overall,gross_monthly_median,0.18184388590400832,0.18184388590400832
employment_rate_overall,gross_mthly_75_percentile,0.16273795402583413,0.16273795402583413
employment_rate_overall,salary_premium,0.07275197019304536,0.07275197019304536
employment_rate_overall,salary_iqr,0.034942199368383074,0.034942199368383074
employment_rate_overall,stability_score,-0.034942199368382124,0.034942199368382124
employment_rate_ft_perm,career_value_index,0.9125153410365157,0.9125153410365157
employment_rate_ft_perm,employment_premium,-0.8876551818826623,0.8876551818826623
employment_rate_ft_perm,employment_rate_overall,0.7176682176477128,0.7176682176477128
employment_rate_ft_perm,gross_mthly_25_percentile,0.3591986129929025,0.3591986129929025
employment_rate_ft_perm,gross_monthly_mean,0.316486699475744,0.316486699475744
employment_rate_ft_perm,gross_monthly_median,0.3139639118375667,0.3139639118375667
employment_rate_ft_perm,gross_mthly_75_percentile,0.2754294439374634,0.2754294439374634
employment_rate_ft_perm,salary_premium,0.07477353046826678,0.07477353046826678
employment_rate_ft_perm,stability_score,-0.05771546186228874,0.05771546186228874
employment_rate_ft_perm,salary_iqr,0.057715461862288646,0.057715461862288646
